                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6087,                0.92128,                 1.4604,                  1.649,                 1.0704,                 1.4531,                0.89861,                 0.8009,                0.89194,                 0.4982,                 1.5372,                0.79421,                 1.5347,                 1.5742,                0.80278,                 1.5482,               0.006832,               0.006832,               0.006832
                     35,                 1.6084,                0.91949,                  1.454,                 1.6554,                 1.0545,                 1.4493,                0.89026,                0.81678,                0.89526,                0.50279,                 1.5336,                0.78061,                  1.532,                 1.5678,                 0.8034,                 1.5438,               0.006733,               0.006733,               0.006733
                     36,                 1.6074,                0.91758,                 1.4601,                 1.6567,                 1.0571,                 1.4551,                 0.9134,                0.81084,                0.89414,                0.50225,                 1.5355,                0.77973,                 1.5333,                 1.5738,                0.79352,                 1.5455,               0.006634,               0.006634,               0.006634
                     37,                 1.5972,                 0.9091,                 1.4512,                 1.6473,                  1.053,                 1.4478,                0.91162,                0.80566,                0.89726,                0.50815,                 1.5258,                0.76735,                 1.5269,                 1.5678,                0.76971,                 1.5391,               0.006535,               0.006535,               0.006535
                     38,                 1.5977,                0.90465,                 1.4504,                  1.649,                 1.0374,                 1.4475,                0.91313,                0.82097,                0.90272,                0.50653,                 1.5296,                0.76691,                 1.5282,                 1.5678,                0.76763,                 1.5413,               0.006436,               0.006436,               0.006436
                     39,                 1.5927,                0.90129,                 1.4452,                 1.6368,                 1.0493,                 1.4384,                0.90742,                0.82077,                0.90179,                0.51039,                 1.5296,                0.76428,                 1.5236,                 1.5635,                0.77013,                 1.5345,               0.006337,               0.006337,               0.006337
                     40,                 1.5884,                0.89088,                 1.4461,                 1.6331,                 1.0293,                 1.4394,                0.90946,                0.82212,                0.90259,                0.51136,                 1.5298,                0.76601,                 1.5252,                 1.5636,                0.76423,                 1.5342,               0.006238,               0.006238,               0.006238
                     41,                 1.5899,                0.89475,                 1.4448,                 1.6419,                 1.0262,                 1.4425,                0.91349,                0.82348,                0.90358,                 0.5101,                 1.5193,                0.75517,                 1.5197,                 1.5663,                0.74878,                 1.5336,               0.006139,               0.006139,               0.006139
                     42,                 1.5845,                0.89164,                 1.4453,                  1.634,                 1.0252,                 1.4415,                0.90906,                0.81851,                0.90336,                0.51413,                 1.5173,                 0.7556,                 1.5193,                 1.5553,                0.75019,                 1.5298,                0.00604,                0.00604,                0.00604
                     43,                 1.5818,                 0.8854,                 1.4394,                 1.6295,                 1.0144,                 1.4344,                  0.906,                0.82348,                0.90647,                0.51458,                 1.5149,                0.74625,                 1.5167,                 1.5618,                0.73364,                  1.533,               0.005941,               0.005941,               0.005941
                     44,                 1.5747,                0.87717,                 1.4373,                  1.622,                 1.0115,                 1.4305,                0.91679,                0.82568,                0.90557,                0.51733,                 1.5063,                 0.7416,                 1.5131,                 1.5439,                0.74183,                 1.5253,               0.005842,               0.005842,               0.005842
                     45,                 1.5753,                0.87924,                 1.4384,                 1.6295,                 1.0026,                 1.4356,                 0.9247,                0.82606,                0.90945,                0.51964,                 1.5111,                0.73846,                 1.5136,                 1.5551,                0.72491,                 1.5294,               0.005743,               0.005743,               0.005743
                     46,                 1.5734,                0.87237,                  1.434,                 1.6199,                 1.0124,                 1.4303,                 0.9153,                 0.8294,                0.91318,                0.52229,                 1.5058,                0.73468,                 1.5123,                 1.5496,                0.72164,                 1.5267,               0.005644,               0.005644,               0.005644
                     47,                 1.5659,                 0.8673,                  1.429,                 1.6224,                0.98497,                 1.4287,                 0.9199,                0.83475,                0.91349,                0.52254,                 1.5017,                0.73638,                 1.5094,                 1.5444,                0.72556,                  1.521,               0.005545,               0.005545,               0.005545
                     48,                 1.5635,                0.86586,                 1.4276,                 1.6159,                0.99104,                 1.4247,                0.92347,                0.83205,                0.91174,                 0.5231,                 1.4951,                0.73383,                 1.5056,                 1.5309,                0.73123,                 1.5154,               0.005446,               0.005446,               0.005446
                     49,                 1.5642,                 0.8607,                 1.4299,                 1.6191,                0.98275,                 1.4279,                0.91762,                0.83477,                0.91234,                0.52406,                 1.4922,                0.72697,                 1.5034,                 1.5342,                 0.7245,                  1.516,               0.005347,               0.005347,               0.005347
                     50,                  1.552,                0.85291,                 1.4177,                 1.5992,                 0.9858,                 1.4129,                 0.9138,                0.83928,                0.91526,                0.52637,                 1.4929,                 0.7226,                 1.5027,                 1.5338,                0.72347,                 1.5154,               0.005248,               0.005248,               0.005248
                     51,                 1.5576,                0.85551,                 1.4246,                 1.6036,                0.99336,                 1.4201,                0.91275,                0.83476,                0.91265,                0.52622,                 1.4939,                0.72159,                 1.5031,                 1.5327,                 0.7234,                  1.514,               0.005149,               0.005149,               0.005149
                     52,                 1.5525,                0.85049,                 1.4228,                 1.6025,                0.98072,                 1.4207,                0.91973,                0.83702,                0.91343,                0.52807,                 1.4913,                0.72005,                 1.5005,                 1.5297,                 0.7221,                 1.5097,                0.00505,                0.00505,                0.00505
                     53,                 1.5555,                0.84783,                 1.4253,                 1.6034,                0.97484,                  1.421,                0.92318,                0.83547,                0.91404,                0.52888,                 1.4901,                0.71879,                 1.4995,                 1.5281,                0.71908,                 1.5099,               0.004951,               0.004951,               0.004951
                     54,                 1.5525,                0.84715,                 1.4245,                 1.5993,                0.97484,                 1.4209,                0.92546,                 0.8316,                0.91312,                0.52815,                 1.4897,                0.71744,                 1.4977,                 1.5239,                0.72095,                 1.5069,               0.004852,               0.004852,               0.004852
                     55,                 1.5512,                0.84266,                 1.4215,                  1.607,                0.96376,                 1.4197,                0.92413,                0.83589,                0.91423,                0.53039,                 1.4867,                0.71351,                 1.4956,                 1.5176,                0.71787,                 1.5041,               0.004753,               0.004753,               0.004753
                     56,                 1.5409,                0.83375,                 1.4187,                 1.5939,                0.95625,                 1.4174,                0.93075,                0.83124,                0.91722,                0.53252,                 1.4834,                 0.7099,                 1.4936,                 1.5134,                0.71104,                 1.5032,               0.004654,               0.004654,               0.004654
                     57,                 1.5384,                0.83061,                   1.41,                 1.5914,                0.95288,                 1.4078,                0.92561,                0.83567,                0.91719,                0.53323,                 1.4832,                0.70864,                 1.4943,                 1.5147,                0.70861,                 1.5032,               0.004555,               0.004555,               0.004555
                     58,                 1.5427,                0.83825,                 1.4139,                 1.5928,                0.96298,                 1.4101,                0.92473,                0.84302,                  0.919,                0.53415,                 1.4811,                0.70711,                 1.4928,                 1.5122,                 0.7076,                 1.5028,               0.004456,               0.004456,               0.004456
                     59,                 1.5308,                 0.8268,                 1.4094,                 1.5818,                0.94333,                 1.4073,                0.92135,                0.84087,                0.91929,                0.53676,                 1.4776,                0.70478,                 1.4905,                 1.5082,                0.70428,                 1.5003,               0.004357,               0.004357,               0.004357
                     60,                 1.5298,                0.82242,                 1.4082,                 1.5779,                0.94907,                  1.404,                0.92381,                0.84298,                0.91863,                0.53686,                 1.4764,                0.70266,                 1.4894,                 1.5041,                0.70924,                  1.498,               0.004258,               0.004258,               0.004258
                     61,                 1.5282,                0.82071,                 1.4061,                 1.5818,                0.93545,                 1.4035,                0.92494,                0.84244,                0.91809,                0.53828,                 1.4735,                 0.7007,                 1.4869,                 1.5028,                 0.7044,                 1.4961,               0.004159,               0.004159,               0.004159
                     62,                 1.5273,                0.81774,                 1.4059,                 1.5802,                0.92893,                  1.403,                0.92534,                0.83341,                0.91788,                0.53643,                 1.4726,                0.69837,                 1.4857,                 1.5045,                0.70401,                 1.4969,                0.00406,                0.00406,                0.00406
                     63,                 1.5199,                0.81863,                 1.4034,                  1.568,                0.94955,                 1.4007,                0.92477,                0.84108,                 0.9182,                0.53803,                 1.4714,                 0.6975,                  1.485,                 1.5086,                0.69581,                 1.4982,               0.003961,               0.003961,               0.003961
                     64,                 1.5243,                 0.8159,                 1.4051,                 1.5696,                0.93607,                 1.4003,                0.92231,                 0.8474,                0.91968,                 0.5362,                 1.4699,                0.69513,                 1.4842,                 1.5054,                0.69707,                 1.4968,               0.003862,               0.003862,               0.003862
