                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5319,                0.84019,                 1.4075,                 1.5871,                0.94464,                 1.4085,                0.69757,                0.47724,                0.53079,                0.26767,                 2.0027,                 1.8453,                 1.9544,                 1.9444,                 2.1248,                 1.8941,               0.005644,               0.005644,               0.005644
                     47,                 1.5343,                0.84033,                 1.4066,                 1.5875,                0.94602,                  1.407,                0.69968,                0.46477,                0.51825,                0.25963,                  2.028,                 1.8671,                 1.9833,                 1.9643,                 2.1554,                 1.9177,               0.005545,               0.005545,               0.005545
                     48,                 1.5263,                0.83392,                 1.4016,                 1.5822,                0.93397,                 1.4028,                0.69548,                0.46097,                0.51148,                0.25773,                 2.0121,                 1.9084,                 1.9715,                 1.9488,                 2.1913,                  1.906,               0.005446,               0.005446,               0.005446
                     49,                  1.522,                0.82856,                 1.3998,                 1.5795,                0.91728,                 1.4022,                0.70553,                0.46073,                0.51563,                 0.2595,                 2.0271,                 1.8859,                 1.9779,                 1.9676,                 2.1694,                 1.9175,               0.005347,               0.005347,               0.005347
                     50,                 1.5206,                0.82463,                 1.3986,                  1.574,                0.92221,                 1.3995,                 0.7055,                0.45865,                0.51371,                0.25864,                 2.0452,                 1.9141,                 1.9891,                 1.9858,                 2.2073,                 1.9288,               0.005248,               0.005248,               0.005248
                     51,                 1.5179,                0.82549,                    1.4,                 1.5756,                0.92586,                 1.4014,                0.70536,                0.46293,                 0.5205,                 0.2614,                  2.045,                 1.8915,                 1.9936,                 1.9825,                 2.1781,                 1.9311,               0.005149,               0.005149,               0.005149
                     52,                 1.5217,                0.82504,                 1.3992,                 1.5815,                0.91018,                 1.4019,                 0.7055,                0.46889,                 0.5293,                0.26696,                 1.9947,                 1.8651,                 1.9551,                 1.9472,                 2.1305,                 1.9025,                0.00505,                0.00505,                0.00505
                     53,                 1.5111,                0.81673,                 1.3961,                 1.5689,                0.91123,                 1.3997,                 0.7129,                0.46479,                0.52673,                0.26643,                 1.9782,                 1.8831,                 1.9437,                 1.9289,                  2.152,                 1.8876,               0.004951,               0.004951,               0.004951
                     54,                 1.5165,                0.81577,                 1.3991,                 1.5733,                0.91096,                  1.402,                0.70861,                0.46786,                0.52628,                0.26513,                 1.9868,                 1.8818,                 1.9514,                 1.9397,                 2.1551,                  1.898,               0.004852,               0.004852,               0.004852
                     55,                 1.5043,                0.81014,                 1.3927,                 1.5571,                0.91509,                 1.3934,                0.71404,                0.46548,                0.52615,                0.26538,                 1.9961,                 1.8758,                 1.9605,                 1.9399,                 2.1555,                 1.9014,               0.004753,               0.004753,               0.004753
                     56,                 1.5054,                0.81173,                 1.3944,                  1.561,                0.91177,                 1.3966,                0.71312,                0.45725,                0.51712,                0.25987,                 2.0133,                 1.8966,                 1.9731,                 1.9421,                 2.2022,                 1.9035,               0.004654,               0.004654,               0.004654
                     57,                 1.4994,                0.80002,                 1.3844,                 1.5565,                0.88972,                 1.3871,                0.70853,                0.45887,                0.51684,                0.25995,                 2.0283,                 1.8865,                 1.9899,                  1.952,                 2.2005,                  1.915,               0.004555,               0.004555,               0.004555
                     58,                 1.4982,                0.80424,                 1.3864,                 1.5527,                0.90729,                 1.3878,                0.71164,                0.45787,                0.51511,                0.25872,                 2.0389,                  1.901,                  1.997,                 1.9598,                 2.2235,                 1.9224,               0.004456,               0.004456,               0.004456
                     59,                 1.4929,                0.80028,                 1.3872,                 1.5487,                0.89327,                 1.3888,                0.71949,                0.45775,                0.51674,                 0.2593,                 2.0477,                 1.9014,                 2.0058,                 1.9663,                 2.2244,                 1.9297,               0.004357,               0.004357,               0.004357
                     60,                 1.4894,                0.79516,                 1.3858,                 1.5464,                0.87807,                  1.388,                0.71832,                0.45743,                0.51741,                0.25891,                 2.0481,                 1.9086,                 2.0055,                 1.9605,                 2.2363,                 1.9261,               0.004258,               0.004258,               0.004258
