                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.5659,                 0.8673,                  1.429,                 1.6224,                0.98497,                 1.4287,                0.88352,                0.77607,                0.85608,                0.46426,                 1.6135,                0.88347,                 1.5873,                 1.6573,                0.91927,                 1.5995,               0.005545,               0.005545,               0.005545
                     48,                 1.5635,                0.86586,                 1.4276,                 1.6159,                0.99104,                 1.4247,                0.88113,                0.78104,                0.86386,                0.47081,                 1.6039,                 0.8678,                 1.5809,                 1.6458,                0.90925,                  1.593,               0.005446,               0.005446,               0.005446
                     49,                 1.5642,                 0.8607,                 1.4299,                 1.6191,                0.98275,                 1.4279,                0.87905,                 0.7973,                0.86604,                0.47288,                 1.5999,                0.87021,                 1.5775,                  1.642,                0.90523,                 1.5924,               0.005347,               0.005347,               0.005347
                     50,                  1.552,                0.85291,                 1.4177,                 1.5992,                 0.9858,                 1.4129,                0.88672,                0.78465,                0.86341,                0.47266,                 1.5999,                0.87527,                 1.5769,                 1.6446,                0.91551,                  1.593,               0.005248,               0.005248,               0.005248
                     51,                 1.5576,                0.85551,                 1.4246,                 1.6036,                0.99336,                 1.4201,                0.86162,                0.79097,                0.86254,                0.46844,                 1.6066,                0.88323,                 1.5811,                 1.6479,                0.93428,                 1.5957,               0.005149,               0.005149,               0.005149
                     52,                 1.5525,                0.85049,                 1.4228,                 1.6025,                0.98072,                 1.4207,                0.88917,                0.76975,                0.86316,                0.46954,                  1.606,                0.87663,                 1.5803,                 1.6442,                0.93587,                 1.5928,                0.00505,                0.00505,                0.00505
                     53,                 1.5555,                0.84783,                 1.4253,                 1.6034,                0.97484,                  1.421,                0.87605,                0.79456,                0.87041,                0.47768,                 1.5926,                0.86041,                 1.5704,                 1.6302,                0.90841,                  1.581,               0.004951,               0.004951,               0.004951
                     54,                 1.5525,                0.84715,                 1.4245,                 1.5993,                0.97484,                 1.4209,                0.88246,                0.78781,                0.87031,                0.48169,                 1.5806,                0.84626,                 1.5602,                 1.6243,                0.89442,                  1.575,               0.004852,               0.004852,               0.004852
                     55,                 1.5512,                0.84266,                 1.4215,                  1.607,                0.96376,                 1.4197,                0.89487,                0.79162,                0.87211,                0.48176,                 1.5834,                0.84585,                 1.5615,                 1.6239,                0.89536,                 1.5766,               0.004753,               0.004753,               0.004753
                     56,                 1.5409,                0.83375,                 1.4187,                 1.5939,                0.95625,                 1.4174,                0.89482,                0.80045,                0.87605,                0.48489,                  1.584,                0.84317,                 1.5621,                 1.6198,                0.89101,                 1.5737,               0.004654,               0.004654,               0.004654
                     57,                 1.5384,                0.83061,                   1.41,                 1.5914,                0.95288,                 1.4078,                0.89349,                0.79955,                0.87524,                0.48418,                 1.5825,                0.84447,                 1.5625,                 1.6185,                 0.8927,                 1.5739,               0.004555,               0.004555,               0.004555
                     58,                 1.5427,                0.83825,                 1.4139,                 1.5928,                0.96298,                 1.4101,                0.89694,                0.79372,                0.87215,                0.48304,                 1.5855,                0.85102,                 1.5646,                 1.6233,                0.90548,                  1.575,               0.004456,               0.004456,               0.004456
                     59,                 1.5308,                 0.8268,                 1.4094,                 1.5818,                0.94333,                 1.4073,                0.88597,                0.80767,                0.87264,                0.48273,                 1.5812,                0.84859,                 1.5611,                 1.6216,                 0.8997,                 1.5752,               0.004357,               0.004357,               0.004357
                     60,                 1.5298,                0.82242,                 1.4082,                 1.5779,                0.94907,                  1.404,                0.88857,                 0.8028,                0.87464,                0.48248,                 1.5824,                0.84825,                 1.5612,                 1.6249,                0.89326,                 1.5761,               0.004258,               0.004258,               0.004258
                     61,                 1.5282,                0.82071,                 1.4061,                 1.5818,                0.93545,                 1.4035,                0.89208,                0.79485,                 0.8745,                 0.4835,                 1.5795,                0.84805,                 1.5586,                 1.6219,                0.89024,                  1.574,               0.004159,               0.004159,               0.004159
                     62,                 1.5273,                0.81774,                 1.4059,                 1.5802,                0.92893,                  1.403,                0.89198,                0.79776,                 0.8722,                0.48459,                 1.5759,                0.84803,                 1.5568,                 1.6167,                 0.8938,                 1.5705,                0.00406,                0.00406,                0.00406
                     63,                 1.5199,                0.81863,                 1.4034,                  1.568,                0.94955,                 1.4007,                0.89213,                0.79955,                0.87516,                 0.4871,                 1.5714,                0.84126,                 1.5537,                 1.6134,                0.88752,                 1.5661,               0.003961,               0.003961,               0.003961
                     64,                 1.5243,                 0.8159,                 1.4051,                 1.5696,                0.93607,                 1.4003,                0.89584,                0.79598,                0.87643,                0.48944,                 1.5687,                0.83741,                 1.5527,                  1.601,                0.89167,                 1.5619,               0.003862,               0.003862,               0.003862
                     65,                 1.5166,                0.80809,                 1.4001,                 1.5686,                0.93058,                 1.3979,                0.89321,                  0.793,                0.87674,                0.48888,                 1.5661,                0.83665,                  1.551,                 1.5983,                0.89515,                 1.5594,               0.003763,               0.003763,               0.003763
                     66,                 1.5111,                 0.8027,                 1.3938,                 1.5615,                0.92413,                 1.3912,                0.89145,                0.79549,                0.87769,                0.48872,                 1.5652,                 0.8319,                   1.55,                  1.603,                0.88484,                 1.5605,               0.003664,               0.003664,               0.003664
                     67,                 1.5094,                0.79908,                 1.3953,                 1.5597,                0.91592,                 1.3924,                0.89872,                0.80226,                0.87963,                0.49087,                 1.5638,                0.82816,                 1.5494,                 1.6067,                0.86937,                 1.5621,               0.003565,               0.003565,               0.003565
                     68,                 1.5113,                 0.8039,                 1.3936,                 1.5621,                0.91474,                 1.3918,                0.89623,                0.80135,                0.88061,                0.49284,                 1.5621,                0.82414,                 1.5483,                 1.6013,                0.86731,                 1.5598,               0.003466,               0.003466,               0.003466
